customerID,Churn,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_PaperlessBilling,account_Charges.Monthly,account_Charges.Total,Cuentas_Diarias,customer_gender_male,internet_InternetService_fiber optic,internet_InternetService_no,account_Contract_one year,account_Contract_two year,account_PaymentMethod_credit card (automatic),account_PaymentMethod_electronic check,account_PaymentMethod_mailed check
0122-OAHPZ,True,0,0,0,7,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,73.85,511.25,2.4616666666666664,False,True,False,False,False,False,True,False
0123-CRBRT,False,0,1,1,61,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,88.1,5526.75,2.9366666666666665,False,False,False,False,True,False,False,True
0125-LZQXK,True,0,0,0,15,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,101.35,1553.95,3.378333333333333,True,True,False,False,False,False,True,False
0128-MKWSG,False,0,0,1,26,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,45.8,1147.0,1.5266666666666666,False,False,False,False,False,False,False,True
0129-KPTWJ,False,0,1,0,72,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1,94.65,6747.35,3.1550000000000002,True,True,False,False,False,False,True,False
0129-QMPDR,False,0,1,1,44,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.5,865.05,0.6833333333333333,True,False,True,True,False,False,False,False
0130-SXOUN,False,0,0,0,66,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,89.4,5976.9,2.98,True,True,False,False,False,True,False,False
0133-BMFZO,True,0,0,0,2,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,86.25,181.65,2.875,False,True,False,False,False,False,True,False
0134-XWXCE,False,1,0,0,44,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,74.85,3268.05,2.4949999999999997,False,False,False,True,False,False,False,False
0135-NMXAP,True,0,0,0,12,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,89.75,1052.4,2.9916666666666667,False,True,False,False,False,False,False,False
0136-IFMYD,False,1,1,0,69,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,109.95,7634.25,3.665,True,True,False,False,True,False,True,False
0137-OCGAB,True,0,0,0,1,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,80.2,80.2,2.6733333333333333,False,True,False,False,False,False,False,True
0137-UDEUO,True,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.85,63.75,0.6616666666666667,False,False,True,False,False,False,False,True
0139-IVFJG,False,0,1,0,2,1,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,90.35,190.5,3.0116666666666663,False,True,False,False,False,False,True,False
0141-YEAYS,False,1,0,0,27,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,86.45,2401.05,2.881666666666667,False,True,False,False,False,False,False,False
0142-GVYSN,False,0,0,0,26,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.3,511.25,0.6766666666666666,True,False,True,False,False,False,True,False
0147-ESWWR,False,1,1,0,39,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,101.25,3949.15,3.375,False,True,False,False,False,False,True,False
0148-DCDOS,True,0,0,0,25,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,94.7,2362.1,3.1566666666666667,True,True,False,False,False,False,False,False
0151-ONTOV,True,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,70.9,70.9,2.3633333333333337,False,True,False,False,False,False,False,True
0154-QYHJU,True,0,0,0,29,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,58.75,1696.2,1.9583333333333333,True,False,False,True,False,False,True,False
0156-FVPTA,True,0,1,0,22,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,54.2,1152.7,1.8066666666666669,True,False,False,False,False,False,True,False
0162-RZGMZ,True,1,0,0,5,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,59.9,287.85,1.9966666666666666,False,False,False,False,False,True,False,False
0164-APGRB,False,0,0,0,72,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,114.9,8496.7,3.83,False,True,False,False,True,False,True,False
0164-XAIRP,False,0,0,0,24,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.55,470.2,0.6516666666666667,False,False,True,False,True,False,False,False
0168-XZKBB,False,0,1,0,19,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,86.85,1564.4,2.895,False,True,False,False,False,False,True,False
0174-QRVVY,False,0,1,1,71,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25.35,1847.55,0.8450000000000001,True,False,True,False,True,True,False,False
0177-PXBAT,False,1,1,0,33,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,109.9,3694.7,3.6633333333333336,True,True,False,False,False,False,False,False
0178-CIIKR,False,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.95,58.0,0.6649999999999999,False,False,True,False,False,False,False,True
0178-SZBHO,False,0,1,1,47,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,87.2,4017.45,2.9066666666666667,True,True,False,False,False,False,True,False
0181-RITDD,False,0,1,1,62,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,108.15,6825.65,3.605,True,True,False,False,True,False,False,True
0186-CAERR,False,0,0,0,71,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,116.3,8309.55,3.8766666666666665,True,True,False,True,False,False,False,False
0187-QSXOE,False,1,1,0,7,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,89.0,605.45,2.966666666666667,True,True,False,False,False,False,True,False
0187-WZNAB,False,0,1,1,27,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,74.4,1972.35,2.48,False,True,False,False,False,False,False,True
0188-GWFLE,False,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.05,33.7,0.6683333333333333,True,False,True,False,False,False,False,True
0191-EQUUH,False,0,0,1,25,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,35.05,844.45,1.1683333333333332,False,False,False,False,True,False,False,False
0191-ZHSKZ,False,1,0,0,30,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,74.75,2111.3,2.4916666666666667,True,False,False,False,False,False,True,False
0193-ESZXP,True,1,1,0,58,1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1,105.5,6205.5,3.5166666666666666,False,True,False,True,False,True,False,False
0195-IESCP,True,0,1,0,10,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,85.25,855.3,2.841666666666667,True,True,False,False,False,False,True,False
0196-JTUQI,False,0,0,0,9,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,75.2,633.85,2.506666666666667,False,True,False,False,False,True,False,False
0196-VULGZ,True,1,1,0,6,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,84.35,474.9,2.8116666666666665,False,True,False,False,False,False,True,False
0197-PNKNK,False,0,1,1,69,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,84.45,5848.6,2.815,False,True,False,True,False,False,False,False
0201-MIBOL,False,1,0,0,66,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,102.4,6471.85,3.4133333333333336,False,True,False,False,True,False,False,False
0201-OAMXR,True,0,0,0,70,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,115.55,8127.6,3.8516666666666666,False,True,False,True,False,True,False,False
0203-HHYIJ,True,0,0,0,25,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25.3,676.35,0.8433333333333334,True,False,True,True,False,False,False,False
0206-OYVOC,False,0,1,1,46,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.25,864.2,0.6416666666666667,False,False,True,False,True,False,False,True
0206-TBWLC,False,0,1,0,54,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,114.65,6049.5,3.8216666666666668,False,True,False,True,False,False,False,True
0207-MDKNV,True,0,0,0,15,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0,105.1,1582.75,3.503333333333333,False,True,False,False,False,False,True,False
0208-BPQEJ,False,0,1,1,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.4,198.1,0.6466666666666666,False,False,True,False,False,False,False,False
0212-ISBBF,False,0,0,0,22,0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,50.35,1098.85,1.6783333333333335,False,False,False,False,False,False,True,False
0214-JHPFW,False,0,1,0,70,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,57.8,4039.3,1.9266666666666665,False,False,False,False,True,False,False,False
0215-BQKGS,False,0,0,0,30,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,84.3,2438.6,2.81,True,True,False,False,False,True,False,False
0218-QNVAS,False,0,1,1,71,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0,100.55,7113.75,3.3516666666666666,True,True,False,True,False,False,False,False
0219-QAERP,False,0,1,0,30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.8,576.65,0.66,True,False,True,True,False,True,False,False
0219-YTZUE,True,0,1,1,4,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,84.8,371.9,2.8266666666666667,True,True,False,False,False,False,False,False
0220-EBGCE,True,0,0,0,2,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,85.85,167.3,2.8616666666666664,True,True,False,False,False,False,True,False
0221-NAUXK,False,0,0,1,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.95,219.5,0.6649999999999999,True,False,True,True,False,False,False,False
0221-WMXNQ,False,1,0,0,4,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,75.35,273.4,2.5116666666666663,True,True,False,False,False,False,True,False
0222-CNVPT,False,1,0,0,52,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,48.8,2555.05,1.6266666666666665,True,False,False,False,False,True,False,False
0224-HJAPT,True,0,0,0,5,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47.15,223.15,1.5716666666666665,True,False,False,False,False,False,True,False
0224-NIJLP,False,0,1,1,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.15,165.5,0.6716666666666666,True,False,True,False,True,False,False,True
0224-RLWWD,False,1,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44.3,89.3,1.4766666666666666,False,False,False,False,False,False,True,False
0225-ZORZP,False,0,0,0,3,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,84.3,235.05,2.81,True,True,False,False,False,False,True,False
0228-MAUWC,False,0,0,0,19,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,59.55,1144.6,1.9849999999999999,True,False,False,False,False,False,True,False
0229-LFJAF,False,0,0,0,72,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,69.65,4908.25,2.3216666666666668,True,False,False,False,True,False,False,False
0230-UBYPQ,False,1,1,0,63,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,36.1,2298.9,1.2033333333333334,True,False,False,True,False,False,False,False
0230-WEQUW,False,0,1,0,66,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1,56.6,3789.2,1.8866666666666667,True,False,False,False,True,False,False,False
0231-LXVAP,True,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,75.9,75.9,2.5300000000000002,True,True,False,False,False,False,True,False
0233-FTHAV,False,0,0,0,60,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,79.2,4765.0,2.64,False,True,False,True,False,False,False,False
0234-TEVTT,False,0,1,1,48,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,45.0,2196.3,1.5,False,False,False,True,False,True,False,False
0235-KGSLC,True,0,0,0,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,85.55,85.55,2.8516666666666666,False,True,False,False,False,True,False,False
0236-HFWSV,True,0,0,0,15,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,93.35,1444.65,3.1116666666666664,True,True,False,False,False,False,True,False
0237-YFUTL,False,0,1,0,50,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,109.65,5405.8,3.6550000000000002,False,True,False,False,False,False,False,False
0238-WHBIQ,False,0,1,1,72,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,89.7,6339.3,2.99,True,False,False,False,True,True,False,False
0239-OXEXL,False,0,0,0,46,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,84.25,3847.6,2.808333333333333,False,True,False,False,False,False,False,True
0244-LGNFY,False,0,1,1,72,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,92.65,6733.0,3.0883333333333334,False,False,False,False,True,False,False,False
0247-SLUJI,False,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.7,19.7,0.6566666666666666,True,False,True,False,False,False,False,True
0248-IPDFW,False,0,0,0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,50.1,50.1,1.6700000000000002,False,False,False,False,False,False,True,False
0248-PGHBZ,False,1,0,0,67,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,92.45,6140.85,3.0816666666666666,False,True,False,False,True,False,False,False
0253-ZTEOB,False,0,1,1,48,1,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,79.65,3870.3,2.6550000000000002,False,False,False,False,True,False,True,False
0254-FNMCI,False,0,0,0,72,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,109.9,7624.2,3.6633333333333336,False,True,False,False,True,False,True,False
0254-KCJGT,False,0,1,0,52,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,81.4,4354.45,2.7133333333333334,True,False,False,True,False,True,False,False
0254-WWRKD,False,0,1,1,67,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,50.55,3431.75,1.6849999999999998,False,False,False,True,False,True,False,False
0256-LTHVJ,True,0,1,1,28,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,81.05,2227.1,2.7016666666666667,False,True,False,False,False,False,True,False
0257-KXZGU,False,0,1,1,32,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,62.45,2045.55,2.0816666666666666,False,False,False,False,False,False,False,False
